"month" "APHRO" "TRMM" "ERA" "MERRA" "Count"
"201709" FALSE TRUE TRUE TRUE 3
"201710" FALSE TRUE FALSE FALSE 1
"201711" FALSE TRUE FALSE FALSE 1
"201712" FALSE TRUE FALSE FALSE 1
"201804" FALSE FALSE TRUE FALSE 1
"201805" FALSE FALSE TRUE FALSE 1
"201806" FALSE FALSE TRUE FALSE 1
"201807" FALSE FALSE TRUE FALSE 1
"201808" FALSE FALSE TRUE FALSE 1
"201809" FALSE FALSE TRUE FALSE 1
